airline,source,destination,route,duration,total_stops,price,year,month,day,day_name,holiday,season,dep_hour,dep_minute,dep_time,arrival_hour,arrival_minute,arrival_time
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,665,1,9646,2019,5,21,Tuesday,0,Summer,7,5,Early Morning,18,10,Evening
Air India,Banglore,Delhi,BLR → BOM → DEL,510,1,8714,2019,3,15,Friday,0,Summer,6,45,Early Morning,15,15,Afternoon
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1325,1,12373,2019,5,18,Saturday,1,Summer,20,55,Night,19,0,Evening
Air Asia,Banglore,Delhi,BLR → DEL,165,0,3383,2019,6,5,Wednesday,0,Rainy,11,10,Morning,13,55,Afternoon
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,720,1,13062,2019,3,21,Thursday,0,Summer,9,0,Morning,21,0,Night
SpiceJet,Banglore,Delhi,BLR → DEL,170,0,3527,2019,3,24,Sunday,1,Summer,5,45,Early Morning,8,35,Morning
IndiGo,Banglore,Delhi,BLR → DEL,170,0,3943,2019,5,27,Monday,0,Summer,4,0,Early Morning,6,50,Early Morning
Air India,Chennai,Kolkata,MAA → CCU,135,0,4667,2019,3,5,Tuesday,0,Summer,11,40,Morning,13,55,Afternoon
Air India,Kolkata,Banglore,CCU → HYD → BLR,965,1,6117,2019,5,15,Wednesday,0,Summer,19,0,Evening,11,5,Morning
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,1195,2,11150,2019,6,27,Thursday,0,Rainy,23,5,Night,19,0,Evening
Jet Airways,Delhi,Cochin,DEL → COK,195,0,7202,2019,9,3,Tuesday,0,Rainy,11,0,Morning,14,15,Afternoon
IndiGo,Banglore,Delhi,BLR → DEL,170,0,4377,2019,3,24,Sunday,1,Summer,22,20,Night,1,10,Late Night
IndiGo,Banglore,Delhi,BLR → DEL,180,0,3943,2019,6,18,Tuesday,0,Rainy,21,15,Night,0,15,Late Night
Air Asia,Banglore,Delhi,BLR → DEL,170,0,4483,2019,3,4,Monday,0,Summer,23,55,Night,2,45,Late Night
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,975,1,14231,2019,3,24,Sunday,1,Summer,19,45,Evening,12,0,Afternoon
Air India,Banglore,Delhi,BLR → BOM → AMD → DEL,905,2,17345,2019,1,3,Thursday,0,Winter,8,50,Morning,23,55,Night
Vistara,Chennai,Kolkata,MAA → CCU,135,0,7414,2019,6,3,Monday,0,Rainy,7,5,Early Morning,9,20,Morning
Air India,Kolkata,Banglore,CCU → BOM → BLR,745,1,8366,2019,6,6,Thursday,0,Rainy,9,25,Morning,21,50,Night
Air India,Delhi,Cochin,DEL → MAA → COK,1640,1,5117,2019,3,4,Monday,0,Summer,6,5,Early Morning,9,25,Morning
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,615,1,12524,2019,3,6,Wednesday,0,Summer,8,45,Morning,19,0,Evening
IndiGo,Delhi,Cochin,DEL → BOM → COK,630,1,7191,2019,5,15,Wednesday,0,Summer,15,0,Afternoon,1,30,Late Night
Vistara,Chennai,Kolkata,MAA → CCU,135,0,3687,2019,5,24,Friday,0,Summer,7,5,Early Morning,9,20,Morning
IndiGo,Delhi,Cochin,DEL → BOM → COK,625,1,5894,2019,6,24,Monday,0,Rainy,10,35,Morning,21,0,Night
Vistara,Banglore,Delhi,BLR → DEL,170,0,5403,2019,4,24,Wednesday,0,Summer,9,45,Morning,12,35,Afternoon
Air India,Mumbai,Hyderabad,BOM → HYD,90,0,3625,2019,6,5,Wednesday,0,Rainy,13,55,Afternoon,15,25,Afternoon
Air India,Delhi,Cochin,DEL → BHO → BOM → COK,800,2,10861,2019,5,21,Tuesday,0,Summer,5,55,Early Morning,19,15,Evening
IndiGo,Chennai,Kolkata,MAA → CCU,135,0,6297,2019,12,3,Tuesday,0,Winter,13,20,Afternoon,15,35,Afternoon
Jet Airways,Mumbai,Hyderabad,BOM → HYD,85,0,5678,2019,1,6,Sunday,1,Winter,7,5,Early Morning,8,30,Morning
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,440,1,10791,2019,6,24,Monday,0,Rainy,11,40,Morning,19,0,Evening
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,810,2,12819,2019,6,24,Monday,0,Rainy,23,5,Night,12,35,Afternoon
IndiGo,Delhi,Cochin,DEL → BLR → COK,300,1,6893,2019,3,21,Thursday,0,Summer,5,5,Early Morning,10,5,Morning
Vistara,Banglore,Delhi,BLR → DEL,165,0,7240,2019,9,3,Tuesday,0,Rainy,9,50,Morning,12,35,Afternoon
GoAir,Banglore,Delhi,BLR → DEL,170,0,3898,2019,3,4,Monday,0,Summer,11,40,Morning,14,30,Afternoon
IndiGo,Mumbai,Hyderabad,BOM → HYD,90,0,4049,2019,3,4,Monday,0,Summer,6,25,Early Morning,7,55,Early Morning
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1145,1,10262,2019,6,15,Saturday,1,Rainy,17,30,Evening,12,35,Afternoon
SpiceJet,Chennai,Kolkata,MAA → CCU,135,0,3332,2019,3,21,Thursday,0,Summer,8,20,Morning,10,35,Morning
Jet Airways,Banglore,Delhi,BLR → DEL,160,0,7229,2019,3,24,Sunday,1,Summer,19,55,Evening,22,35,Night
IndiGo,Delhi,Cochin,DEL → BOM → COK,575,1,5894,2019,6,27,Thursday,0,Rainy,11,25,Morning,21,0,Night
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,600,1,10197,2019,5,18,Saturday,1,Summer,9,0,Morning,19,0,Evening
IndiGo,Delhi,Cochin,DEL → MAA → COK,325,1,5636,2019,6,24,Monday,0,Rainy,2,0,Late Night,7,25,Early Morning
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,1125,2,13014,2019,6,6,Thursday,0,Rainy,9,40,Morning,4,25,Early Morning
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,740,1,7064,2019,1,4,Friday,0,Winter,8,25,Morning,20,45,Night
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1080,1,10703,2019,5,24,Friday,0,Summer,20,25,Night,14,25,Afternoon
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,555,1,9646,2019,5,27,Monday,0,Summer,13,15,Afternoon,22,30,Night
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,665,1,17057,2019,6,3,Monday,0,Rainy,2,15,Late Night,13,20,Afternoon
Air India,Delhi,Cochin,DEL → BHO → BOM → COK,800,2,13748,2019,6,3,Monday,0,Rainy,5,55,Early Morning,19,15,Evening
Air India,Kolkata,Banglore,CCU → BLR,155,0,4880,2019,4,21,Sunday,1,Summer,20,45,Night,23,20,Night
IndiGo,Chennai,Kolkata,MAA → CCU,145,0,3540,2019,6,21,Friday,0,Rainy,5,15,Early Morning,7,40,Early Morning
SpiceJet,Banglore,Delhi,BLR → DEL,160,0,3257,2019,5,15,Wednesday,0,Summer,5,55,Early Morning,8,35,Morning
Jet Airways,Banglore,Delhi,BLR → DEL,180,0,6478,2019,3,6,Wednesday,0,Summer,19,50,Evening,22,50,Night
Jet Airways,Mumbai,Hyderabad,BOM → HYD,85,0,8040,2019,6,18,Tuesday,0,Rainy,7,5,Early Morning,8,30,Morning
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,740,1,14781,2019,5,15,Wednesday,0,Summer,8,25,Morning,20,45,Night
Jet Airways,Delhi,Cochin,DEL → BOM → COK,450,1,10262,2019,6,24,Monday,0,Rainy,20,55,Night,4,25,Early Morning
Air India,Banglore,Delhi,BLR → DEL,165,0,6121,2019,1,5,Saturday,1,Winter,6,10,Early Morning,8,55,Morning
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,535,2,13029,2019,5,18,Saturday,1,Summer,19,30,Evening,4,25,Early Morning
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,430,1,11421,2019,3,27,Wednesday,0,Summer,11,40,Morning,18,50,Evening
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,870,1,7574,2019,3,27,Wednesday,0,Summer,4,45,Early Morning,19,15,Evening
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,1195,2,15129,2019,5,24,Friday,0,Summer,23,5,Night,19,0,Evening
IndiGo,Banglore,Delhi,BLR → DEL,175,0,5780,2019,12,4,Wednesday,0,Winter,18,55,Evening,21,50,Night
GoAir,Delhi,Cochin,DEL → BOM → COK,355,1,5281,2019,6,27,Thursday,0,Rainy,7,0,Early Morning,12,55,Afternoon
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,925,1,10348,2019,5,18,Saturday,1,Summer,7,5,Early Morning,22,30,Night
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,610,1,15147,2019,3,3,Sunday,1,Summer,15,25,Afternoon,1,35,Late Night
Vistara,Banglore,Delhi,BLR → DEL,160,0,4668,2019,12,6,Friday,0,Winter,7,0,Early Morning,9,40,Morning
Jet Airways,Delhi,Cochin,DEL → BOM → COK,715,1,15554,2019,9,5,Thursday,0,Rainy,7,5,Early Morning,19,0,Evening
SpiceJet,Banglore,Delhi,BLR → DEL,160,0,3971,2019,9,4,Wednesday,0,Rainy,5,55,Early Morning,8,35,Morning
Air India,Mumbai,Hyderabad,BOM → HYD,85,0,3100,2019,3,5,Tuesday,0,Summer,15,0,Afternoon,16,25,Evening
IndiGo,Chennai,Kolkata,MAA → CCU,145,0,3540,2019,12,5,Thursday,0,Winter,5,15,Early Morning,7,40,Early Morning
Air India,Kolkata,Banglore,CCU → BBI → BOM → BLR,1390,2,10676,2019,5,21,Tuesday,0,Summer,12,0,Afternoon,11,10,Morning
IndiGo,Banglore,Delhi,BLR → DEL,170,0,3943,2019,6,24,Monday,0,Rainy,4,0,Early Morning,6,50,Early Morning
IndiGo,Chennai,Kolkata,MAA → CCU,140,0,3597,2019,3,6,Wednesday,0,Summer,14,45,Afternoon,17,5,Evening
Air India,Banglore,Delhi,BLR → MAA → DEL,480,1,5932,2019,3,21,Thursday,0,Summer,11,50,Morning,19,50,Evening
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1015,1,10262,2019,6,15,Saturday,1,Rainy,11,30,Morning,4,25,Early Morning
Vistara,Delhi,Cochin,DEL → COK,190,0,6216,2019,12,5,Thursday,0,Winter,14,40,Afternoon,17,50,Evening
IndiGo,Kolkata,Banglore,CCU → BLR,165,0,4804,2019,6,15,Saturday,1,Rainy,20,25,Night,23,10,Night
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,840,1,14067,2019,5,21,Tuesday,0,Summer,11,30,Morning,1,30,Late Night
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,1430,2,15129,2019,5,18,Saturday,1,Summer,19,10,Evening,19,0,Evening
Jet Airways,Delhi,Cochin,DEL → NAG → BOM → COK,1300,2,13376,2019,6,6,Thursday,0,Rainy,6,45,Early Morning,4,25,Early Morning
Air India,Delhi,Cochin,DEL → GOI → BOM → COK,1275,2,10441,2019,6,27,Thursday,0,Rainy,22,0,Night,19,15,Evening
Jet Airways,Banglore,Delhi,BLR → DEL,165,0,4030,2019,5,24,Friday,0,Summer,6,0,Early Morning,8,45,Morning
Jet Airways,Delhi,Cochin,DEL → BOM → COK,650,1,17024,2019,3,3,Sunday,1,Summer,8,0,Morning,18,50,Evening
GoAir,Kolkata,Banglore,CCU → BOM → BLR,495,1,6686,2019,6,6,Thursday,0,Rainy,23,30,Night,7,45,Early Morning
IndiGo,Delhi,Cochin,DEL → MAA → COK,325,1,5636,2019,6,15,Saturday,1,Rainy,2,0,Late Night,7,25,Early Morning
IndiGo,Delhi,Cochin,DEL → HYD → COK,515,1,6442,2019,9,6,Friday,0,Rainy,7,35,Early Morning,16,10,Evening
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,710,1,9486,2019,5,21,Tuesday,0,Summer,13,5,Afternoon,0,55,Late Night
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1655,1,10844,2019,5,21,Tuesday,0,Summer,20,0,Night,23,35,Night
Air India,Delhi,Cochin,DEL → MAA → COK,1255,1,5117,2019,3,4,Monday,0,Summer,12,30,Afternoon,9,25,Morning
IndiGo,Delhi,Cochin,DEL → BLR → COK,290,1,6147,2019,6,24,Monday,0,Rainy,15,10,Afternoon,20,0,Night
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,490,1,7005,2019,9,6,Friday,0,Rainy,12,50,Afternoon,21,0,Night
SpiceJet,Kolkata,Banglore,CCU → BLR,140,0,3873,2019,3,4,Monday,0,Summer,22,20,Night,0,40,Late Night
Jet Airways,Delhi,Cochin,DEL → BDQ → BOM → COK,1465,2,9270,2019,3,21,Thursday,0,Summer,18,25,Evening,18,50,Evening
GoAir,Banglore,Delhi,BLR → DEL,170,0,3898,2019,6,27,Thursday,0,Rainy,11,40,Morning,14,30,Afternoon
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,740,1,14781,2019,12,5,Thursday,0,Winter,8,25,Morning,20,45,Night
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,735,1,8586,2019,5,24,Friday,0,Summer,20,0,Night,8,15,Morning
Jet Airways,Delhi,Cochin,DEL → ATQ → BOM → COK,995,2,14300,2019,6,27,Thursday,0,Rainy,20,0,Night,12,35,Afternoon
IndiGo,Banglore,Delhi,BLR → DEL,170,0,8855,2019,3,3,Sunday,1,Summer,18,55,Evening,21,45,Night
IndiGo,Banglore,Delhi,BLR → DEL,165,0,4777,2019,3,24,Sunday,1,Summer,0,40,Late Night,3,25,Late Night
IndiGo,Delhi,Cochin,DEL → HYD → COK,560,1,6442,2019,9,5,Thursday,0,Rainy,6,50,Early Morning,16,10,Evening
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,270,1,5264,2019,12,6,Friday,0,Winter,8,45,Morning,13,15,Afternoon
Jet Airways,Delhi,Cochin,DEL → BOM → COK,925,1,12898,2019,5,27,Monday,0,Summer,13,0,Afternoon,4,25,Early Morning
Air India,Mumbai,Hyderabad,BOM → HYD,90,0,6092,2019,3,3,Sunday,1,Summer,13,55,Afternoon,15,25,Afternoon
SpiceJet,Banglore,Delhi,BLR → DEL,160,0,3311,2019,5,21,Tuesday,0,Summer,5,55,Early Morning,8,35,Morning
Jet Airways,Delhi,Cochin,DEL → BOM → COK,550,1,6540,2019,3,27,Wednesday,0,Summer,19,15,Evening,4,25,Early Morning
IndiGo,Banglore,Delhi,BLR → DEL,165,0,3419,2019,5,27,Monday,0,Summer,1,30,Late Night,4,15,Early Morning
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1355,1,5177,2019,3,4,Monday,0,Summer,14,0,Afternoon,12,35,Afternoon
Air India,Delhi,Cochin,DEL → COK,185,0,8246,2019,4,18,Thursday,0,Summer,18,5,Evening,21,10,Night
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,690,1,14676,2019,9,6,Friday,0,Rainy,9,35,Morning,21,5,Night
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,570,1,13587,2019,6,27,Thursday,0,Rainy,11,30,Morning,21,0,Night
IndiGo,Delhi,Cochin,DEL → BOM → COK,305,1,5073,2019,3,4,Monday,0,Summer,20,25,Night,1,30,Late Night
Vistara,Kolkata,Banglore,CCU → DEL → BLR,1550,1,9345,2019,5,21,Tuesday,0,Summer,17,0,Evening,18,50,Evening
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,780,1,14277,2019,5,21,Tuesday,0,Summer,8,0,Morning,21,0,Night
Jet Airways,Mumbai,Hyderabad,BOM → HYD,90,0,5678,2019,3,27,Wednesday,0,Summer,19,35,Evening,21,5,Night
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,570,1,13727,2019,5,15,Wednesday,0,Summer,16,0,Evening,1,30,Late Night
IndiGo,Chennai,Kolkata,MAA → CCU,140,0,3858,2019,12,5,Thursday,0,Winter,14,45,Afternoon,17,5,Evening
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,270,1,4812,2019,6,24,Monday,0,Rainy,8,45,Morning,13,15,Afternoon
IndiGo,Delhi,Cochin,DEL → LKO → COK,345,1,5775,2019,6,27,Thursday,0,Rainy,21,50,Night,3,35,Late Night
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1450,1,10539,2019,6,6,Thursday,0,Rainy,9,35,Morning,9,45,Morning
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,4804,2019,3,6,Wednesday,0,Summer,15,30,Afternoon,18,5,Evening
Air Asia,Banglore,Delhi,BLR → DEL,165,0,3383,2019,12,6,Friday,0,Winter,11,10,Morning,13,55,Afternoon
IndiGo,Banglore,Delhi,BLR → HYD → DEL,295,1,8738,2019,3,3,Sunday,1,Summer,12,10,Afternoon,17,5,Evening
Air India,Delhi,Cochin,DEL → TRV → COK,1535,1,7165,2019,3,27,Wednesday,0,Summer,5,15,Early Morning,6,50,Early Morning
IndiGo,Delhi,Cochin,DEL → HYD → COK,380,1,6412,2019,6,24,Monday,0,Rainy,16,10,Evening,22,30,Night
Jet Airways,Banglore,Delhi,BLR → DEL,185,0,8016,2019,6,27,Thursday,0,Rainy,18,55,Evening,22,0,Night
SpiceJet,Chennai,Kolkata,MAA → CCU,135,0,3543,2019,6,27,Thursday,0,Rainy,9,45,Morning,12,0,Afternoon
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1165,1,10262,2019,6,24,Monday,0,Rainy,9,0,Morning,4,25,Early Morning
Air India,Banglore,Delhi,BLR → DEL,170,0,4441,2019,3,18,Monday,0,Summer,13,20,Afternoon,16,10,Evening
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,505,1,12537,2019,3,27,Wednesday,0,Summer,7,5,Early Morning,15,30,Afternoon
GoAir,Kolkata,Banglore,CCU → BOM → BLR,555,1,10091,2019,3,24,Sunday,1,Summer,22,25,Night,7,40,Early Morning
Air India,Banglore,Delhi,BLR → DEL,170,0,6961,2019,3,6,Wednesday,0,Summer,21,5,Night,23,55,Night
IndiGo,Delhi,Cochin,DEL → COK,195,0,5013,2019,4,24,Wednesday,0,Summer,5,35,Early Morning,8,50,Morning
Air India,Delhi,Cochin,DEL → COK,170,0,6934,2019,5,18,Saturday,1,Summer,5,10,Early Morning,8,0,Morning
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,740,1,10877,2019,3,6,Wednesday,0,Summer,6,40,Early Morning,19,0,Evening
Jet Airways,Banglore,Delhi,BLR → DEL,175,0,7229,2019,4,18,Thursday,0,Summer,15,15,Afternoon,18,10,Evening
IndiGo,Delhi,Cochin,DEL → BOM → COK,575,1,7048,2019,3,27,Wednesday,0,Summer,16,0,Evening,1,35,Late Night
Vistara,Banglore,Delhi,BLR → DEL,155,0,4878,2019,6,27,Thursday,0,Rainy,17,0,Evening,19,35,Evening
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,570,1,10844,2019,5,21,Tuesday,0,Summer,14,5,Afternoon,23,35,Night
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,1760,2,15129,2019,5,18,Saturday,1,Summer,23,5,Night,4,25,Early Morning
IndiGo,Banglore,Delhi,BLR → DEL,175,0,3943,2019,12,5,Thursday,0,Winter,0,30,Late Night,3,25,Late Night
SpiceJet,Delhi,Cochin,DEL → MAA → COK,315,1,5583,2019,6,6,Thursday,0,Rainy,6,5,Early Morning,11,20,Morning
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,545,1,9646,2019,6,6,Thursday,0,Rainy,7,5,Early Morning,16,10,Evening
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,645,1,7677,2019,3,6,Wednesday,0,Summer,8,30,Morning,19,15,Evening
IndiGo,Delhi,Cochin,DEL → BLR → COK,295,1,6842,2019,1,6,Sunday,1,Winter,5,10,Early Morning,10,5,Morning
Jet Airways,Mumbai,Hyderabad,BOM → HYD,90,0,4995,2019,6,24,Monday,0,Rainy,8,45,Morning,10,15,Morning
Vistara,Kolkata,Banglore,CCU → DEL → BLR,700,1,9555,2019,9,6,Friday,0,Rainy,7,10,Early Morning,18,50,Evening
IndiGo,Banglore,Delhi,BLR → DEL,165,0,4077,2019,1,6,Sunday,1,Winter,1,30,Late Night,4,15,Early Morning
Jet Airways,Banglore,Delhi,BLR → DEL,175,0,7229,2019,12,5,Thursday,0,Winter,15,15,Afternoon,18,10,Evening
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,600,1,12192,2019,9,6,Friday,0,Rainy,9,0,Morning,19,0,Evening
Air India,Banglore,Delhi,BLR → DEL,165,0,5911,2019,12,4,Wednesday,0,Winter,10,0,Morning,12,45,Afternoon
Air India,Delhi,Cochin,DEL → BOM → COK,615,1,8372,2019,12,6,Friday,0,Winter,9,0,Morning,19,15,Evening
Jet Airways,Mumbai,Hyderabad,BOM → HYD,85,0,4995,2019,3,18,Monday,0,Summer,7,10,Early Morning,8,35,Morning
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,555,1,14323,2019,9,5,Thursday,0,Rainy,10,0,Morning,19,15,Evening
Air India,Delhi,Cochin,DEL → CCU → BOM → COK,1730,2,13591,2019,6,6,Thursday,0,Rainy,14,25,Afternoon,19,15,Evening
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,2245,2,18799,2019,3,3,Sunday,1,Summer,5,25,Early Morning,18,50,Evening
IndiGo,Banglore,Delhi,BLR → DEL,170,0,3943,2019,4,27,Saturday,1,Summer,23,30,Night,2,20,Late Night
SpiceJet,Mumbai,Hyderabad,BOM → HYD,90,0,1965,2019,5,21,Tuesday,0,Summer,5,45,Early Morning,7,15,Early Morning
Jet Airways,Mumbai,Hyderabad,BOM → HYD,90,0,4995,2019,5,27,Monday,0,Summer,10,20,Morning,11,50,Morning
Air India,Kolkata,Banglore,CCU → BOM → BLR,1540,1,14641,2019,3,24,Sunday,1,Summer,16,50,Evening,18,30,Evening
Air India,Kolkata,Banglore,CCU → BLR,155,0,4460,2019,12,4,Wednesday,0,Winter,20,45,Night,23,20,Night
Air India,Delhi,Cochin,DEL → BOM → COK,375,1,10191,2019,5,18,Saturday,1,Summer,13,0,Afternoon,19,15,Evening
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1050,1,13843,2019,9,3,Tuesday,0,Rainy,2,15,Late Night,19,45,Evening
Air Asia,Kolkata,Banglore,CCU → BLR,155,0,4409,2019,1,5,Saturday,1,Winter,10,20,Morning,12,55,Afternoon
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,835,1,13727,2019,5,18,Saturday,1,Summer,7,5,Early Morning,21,0,Night
IndiGo,Banglore,Delhi,BLR → DEL,175,0,8855,2019,3,15,Friday,0,Summer,18,25,Evening,21,20,Night
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,615,1,12524,2019,6,24,Monday,0,Rainy,8,45,Morning,19,0,Evening
Jet Airways,Banglore,Delhi,BLR → BOM → DEL,520,1,13555,2019,3,18,Monday,0,Summer,11,40,Morning,20,20,Night
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,330,1,10844,2019,6,6,Thursday,0,Rainy,6,30,Early Morning,12,0,Afternoon
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,720,1,13587,2019,9,6,Friday,0,Rainy,9,0,Morning,21,0,Night
SpiceJet,Chennai,Kolkata,MAA → CCU,135,0,3543,2019,12,6,Friday,0,Winter,9,45,Morning,12,0,Afternoon
Vistara,Chennai,Kolkata,MAA → CCU,135,0,4842,2019,3,18,Monday,0,Summer,7,5,Early Morning,9,20,Morning
IndiGo,Banglore,Delhi,BLR → DEL,170,0,3943,2019,4,24,Wednesday,0,Summer,23,30,Night,2,20,Late Night
IndiGo,Delhi,Cochin,DEL → BOM → COK,625,1,6979,2019,5,15,Wednesday,0,Summer,10,35,Morning,21,0,Night
Vistara,Chennai,Kolkata,MAA → CCU,140,0,11982,2019,6,27,Thursday,0,Rainy,17,45,Evening,20,5,Night
